# Frame 1:
-2.349652789434358846e-03 9.592072004294030074e-05 -9.730477368179809572e-01
8.142181550590547239e-05 -2.943375338394080797e-03 -2.305518520548300865e-01
9.006933956890379901e-07 -1.422496927374551678e-07 -3.121735054619607062e-03
# Frame 2:
2.341473726145685847e-03 -1.120617476505535789e-04 9.731215043363634631e-01
-8.020535828093972865e-05 2.929068415121533452e-03 2.302405544924398251e-01
-9.035345648571613740e-07 9.973707067196836712e-08 3.121527285764046783e-03
# Frame 3:
-2.367083859090489146e-03 1.111350797466398462e-04 -9.729897504220134108e-01
7.745748479132778266e-05 -2.938358823107656108e-03 -2.307962697983084455e-01
8.815389582474274525e-07 -1.113484662068571935e-07 -3.126024770756201734e-03
# Frame 4:
2.394862130422839835e-03 -9.645246479476055870e-05 9.732918099585428084e-01
-6.990382471018038058e-05 2.960298688317426156e-03 2.295184890147882739e-01
-8.498179847652600836e-07 1.384265824234098187e-07 3.130965455062062995e-03
# Frame 5:
-2.350777660227713287e-03 1.193860109506348201e-04 -9.732145673567247357e-01
7.550075464628429702e-05 -2.926675885786388792e-03 -2.298468167835170661e-01
8.897038163575851279e-07 -9.260412056325593109e-08 -3.120121410460607782e-03
# Frame 6:
2.346020163309597926e-03 -9.025072453366136385e-05 9.732802233885173848e-01
-7.608671130747708786e-05 2.937010705708754336e-03 2.295685892291648711e-01
-8.916294429461146642e-07 1.501555257316632834e-07 3.118625087750917513e-03
# Frame 7:
2.354058083416722333e-03 -1.096793297151684213e-04 9.730880358175393319e-01
-7.653471656504850444e-05 2.925037792516362988e-03 2.303818780547944867e-01
-8.915686211514868227e-07 1.089943256888408399e-07 3.122417210482173952e-03
# Frame 8:
2.346322957404880713e-03 -7.053049310362682314e-05 9.733960068537508281e-01
-7.609238164579408526e-05 2.951926885085194487e-03 2.290768801096515761e-01
-9.166849688919517882e-07 1.852554847831300113e-07 3.125215379743022815e-03
# Frame 9:
-2.330166275694094992e-03 1.157694036952681006e-04 -9.731732067677748566e-01
7.923169123825599331e-05 -2.914383419623313952e-03 -2.300223130780969794e-01
9.072763615143698529e-07 -1.020811431952776775e-07 -3.114824054319678508e-03
# Frame 10:
2.334355352045564339e-03 -9.849160044187070594e-05 9.730928920564414497e-01
-8.026432510641519369e-05 2.922441132737449952e-03 2.303616625092056724e-01
-9.115191011695920038e-07 1.317266311304445136e-07 3.117988828719291464e-03
# Frame 11:
2.327905893903798110e-03 -1.138362447938023203e-04 9.732681585219558063e-01
-7.834759142782702821e-05 2.919242489978211494e-03 2.296201729217297871e-01
-9.126032411249855977e-07 1.089921058134312805e-07 3.115698032428797573e-03
# Frame 12:
2.354175843208574162e-03 -1.081998362828598956e-04 9.731774219455957553e-01
-7.782027870337902993e-05 2.929295472392064430e-03 2.300039715135440144e-01
-8.895228643966826289e-07 1.124070645908576816e-07 3.120548581775389914e-03
# Frame 13:
2.373803701954715125e-03 -1.048920046780631242e-04 9.732173460766307960e-01
-7.473383137890746728e-05 2.942512461433527231e-03 2.298345543272959368e-01
-8.654288230845829695e-07 1.104716884449237934e-07 3.124903341350320461e-03
# Frame 14:
-2.328301188176059005e-03 1.061258135793127566e-04 -9.731698227031584381e-01
7.959548409611441762e-05 -2.921781166020121293e-03 -2.300365219369752134e-01
9.179097084960971302e-07 -1.206530697321819242e-07 -3.117589525811365406e-03
# Frame 15:
2.339222119241340502e-03 -1.283836325352948472e-04 9.730516454072604127e-01
-8.213490203983681069e-05 2.910582659693025567e-03 2.305359249558864010e-01
-9.038769993510553834e-07 7.660931375449677340e-08 3.117048939755794751e-03
# Frame 16:
2.330691583197333494e-03 -1.149085053118827283e-04 9.729832916287528555e-01
-8.366362278686227108e-05 2.911685655116855957e-03 2.308243253866044953e-01
-9.148996420897719317e-07 1.014982045177944424e-07 3.116854194930999359e-03
# Frame 17:
2.376961686632901496e-03 -7.631873525864857203e-05 9.730593127126313524e-01
-8.138351015397786231e-05 2.965515588074416585e-03 2.305023197900933352e-01
-8.850277198067928095e-07 1.793020361757901983e-07 3.130149581661337190e-03
# Frame 18:
2.366463873682246848e-03 -9.174265504379767685e-05 9.730830035554119961e-01
-7.926476455667670921e-05 2.944854765737095047e-03 2.304027444694796145e-01
-8.809615931849612148e-07 1.538831532911256489e-07 3.123541457316131222e-03
# Frame 19:
2.364407843267182872e-03 -1.070335624366871929e-04 9.729750411395815535e-01
-7.765670094140473482e-05 2.931818043271861886e-03 2.308584107864334600e-01
-8.850280741221558948e-07 1.223120686370121856e-07 3.124103000688072899e-03
# Frame 20:
2.352968552769498130e-03 -1.081030140491062030e-04 9.731451781914599586e-01
-7.503819609817855723e-05 2.922983016261238975e-03 2.301404461157047499e-01
-8.889070130969796619e-07 1.101851334059251707e-07 3.120835762699774620e-03
# Frame 21:
2.345978074175614301e-03 -1.182075327032029212e-04 9.730298536300487910e-01
-7.702378605342915889e-05 2.912556416420776940e-03 2.306277556841846987e-01
-9.036986416502122085e-07 1.024452884014579367e-07 3.120216057788985711e-03
# Frame 22:
2.353456440360141878e-03 -1.001590832964438266e-04 9.733401202807711039e-01
-7.580453957079015558e-05 2.936253896941349098e-03 2.293144059348392050e-01
-8.884897025301147906e-07 1.405968033416129123e-07 3.120474230403299555e-03
# Frame 23:
-2.349332706420367931e-03 1.072094075790228014e-04 -9.726351553685075313e-01
8.097736388814938380e-05 -2.915512241963979546e-03 -2.322866469601958528e-01
8.936630183726121351e-07 -1.206333870126639564e-07 -3.119384148614659426e-03
# Frame 24:
-2.333020800674869173e-03 8.988571034383745955e-05 -9.730651034300352720e-01
8.087185282440167977e-05 -2.928903376280344618e-03 -2.304789124350313245e-01
9.204181573515486541e-07 -1.492446098550524121e-07 -3.120789619361402558e-03
# Frame 25:
2.365121931345294266e-03 -8.069832376815142764e-05 9.729111805402463897e-01
-7.851752302828584999e-05 2.941199832841935417e-03 2.311272262652841747e-01
-8.897129969380963539e-07 1.541084719498040178e-07 3.127766368824867922e-03
# Frame 26:
2.345409233942251977e-03 -1.042544588048351290e-04 9.729458857403586736e-01
-7.924169026671137959e-05 2.918734543108311014e-03 2.309816677756884318e-01
-8.989740505471617736e-07 1.202092857907556178e-07 3.120171085443441527e-03
# Frame 27:
2.354481727848164400e-03 -1.076997686155903365e-04 9.731930697310228195e-01
-7.405528772920002558e-05 2.925299324401652804e-03 2.299378112245433481e-01
-8.784776077200153974e-07 1.173467478528048355e-07 3.119928239428254677e-03
# Frame 28:
2.383906338596333569e-03 -1.089504131007772782e-04 9.734436723481998399e-01
-6.886334337204295171e-05 2.941808516229953933e-03 2.288739695207134273e-01
-8.558263167395001936e-07 1.285234295729147287e-07 3.125536946400998307e-03
# Frame 29:
2.348630319460037405e-03 -1.042849123588873933e-04 9.730684302935769248e-01
-7.890446085695725325e-05 2.925018335726758175e-03 2.304647188957196779e-01
-9.106119426371958106e-07 1.235165793989356983e-07 3.123205335620558680e-03
# Frame 30:
2.349858629894957616e-03 -9.895191051218871171e-05 9.730179253484696478e-01
-8.181895265637560135e-05 2.934980956667864078e-03 2.306777536839075826e-01
-9.009758848446298188e-07 1.479070442946833741e-07 3.120652248263401825e-03
# Frame 31:
2.375011777775357363e-03 -1.187089882079264751e-04 9.728953276711104214e-01
-7.373490876565789531e-05 2.926975044370542893e-03 2.311940775792025171e-01
-8.705399358376876205e-07 1.165544312954023708e-07 3.122898451312487202e-03
# Frame 32:
-2.370985290572541222e-03 1.531130311525541921e-04 -9.730696385612982446e-01
6.919514159272742871e-05 -2.903248753176703931e-03 -2.304596734994850959e-01
8.609843878671439478e-07 -6.083265546798994387e-08 -3.120696045886882462e-03
# Frame 33:
-2.471912160889180605e-03 2.031368171417505600e-04 -9.725409606285950748e-01
6.452431712618972304e-05 -2.981569097002668371e-03 -2.326778420010435500e-01
8.084278071637159369e-07 -9.320829850422352541e-08 -3.171152585298645920e-03
# Frame 34:
2.730986746877114325e-03 -2.563365063353039461e-04 9.684851566597172390e-01
-7.410102155287336492e-05 3.179736521477689003e-03 2.490134543593353345e-01
-6.974555707530371424e-07 8.953686249687292029e-08 3.340758149831089471e-03
# Frame 35:
3.258256089939098443e-03 -2.632694931114516312e-04 9.628183346860249570e-01
-4.883167690875252106e-05 3.583459846565789468e-03 2.700810665019360290e-01
-4.808207990957857416e-07 1.055615877416071502e-07 3.680053910720870215e-03
# Frame 36:
3.992108270119247571e-03 -2.615556426554321379e-04 9.521408858988097412e-01
-3.359453209064393575e-05 4.169613422063305277e-03 3.055764864696102201e-01
-1.844612341503428441e-07 1.163364020355257987e-07 4.165593858465532588e-03
# Frame 37:
5.080193884768076720e-03 -2.660068877469688731e-04 9.349500313335062929e-01
3.535534740410873862e-07 5.015943181496492452e-03 3.546739847336218832e-01
2.750557369343737636e-07 7.118664120049359411e-08 4.874899678289779624e-03
# Frame 38:
6.703237057580200935e-03 -2.258646368936882785e-04 9.025187036675801355e-01
5.445279318639260430e-05 6.294005048977327488e-03 4.305113283403157465e-01
9.526291344619051810e-07 -1.111067073137215843e-08 5.948431170682166869e-03
# Frame 39:
8.884994123832217275e-03 9.893754709079953438e-05 8.589221022972489683e-01
1.469504304720015717e-04 8.159152207514503222e-03 5.119114669704404319e-01
1.870918746885072751e-06 3.358545717187754741e-07 7.343425456772728795e-03
# Frame 40:
1.049487487002424314e-02 4.189539150776890909e-04 8.122312192777348949e-01
2.021531154103854049e-04 9.507274849433396471e-03 5.831024168865839297e-01
2.451880792270436415e-06 4.205947363146905909e-07 8.442202531029317086e-03
# Frame 41:
1.101341233875421759e-02 5.607776096889789241e-04 7.922665845551262187e-01
2.177455610807478180e-04 9.924873657261815141e-03 6.099312046977297674e-01
2.644084959635906583e-06 4.184659731751286853e-07 8.799106378006718923e-03
# Frame 42:
1.090418675702089536e-02 5.459600147583992119e-04 7.922446759833648988e-01
2.059906354361605563e-04 9.830825156981057994e-03 6.099636929077180136e-01
2.560305594811728230e-06 3.666188265811000842e-07 8.762407610002341876e-03
# Frame 43:
1.111584539912166374e-02 6.444054340626939039e-04 7.891717703484429913e-01
2.010403045951757281e-04 1.010436023954336925e-02 6.139240864400660191e-01
2.619729425264851955e-06 6.098926758201809238e-07 8.889160604068505403e-03
# Frame 44:
1.106238162088097644e-02 6.179351509920706382e-04 7.930095687567239038e-01
2.175782730357106410e-04 1.003245752586343249e-02 6.089613995461459206e-01
2.629157815958179056e-06 5.782565526243154579e-07 8.853363233108809544e-03
# Frame 45:
1.118520613787158356e-02 6.050508328011496451e-04 7.926168552968374525e-01
2.382755667196911453e-04 1.007679343683369130e-02 6.094685173904653697e-01
2.704733941630783215e-06 4.942404285666620520e-07 8.920400080092457176e-03
# Frame 46:
-1.109547292132571916e-02 -6.109115587074228889e-04 -7.907360937530862888e-01
-2.175669525682704481e-04 -1.003249089389072687e-02 -6.119097396608756956e-01
-2.641787384962217815e-06 -5.094381623457881684e-07 -8.872406428721927099e-03
# Frame 47:
-1.106785269403345873e-02 -5.519811793702112833e-04 -7.903464102163740845e-01
-2.211581964821710542e-04 -9.964385709731788179e-03 -6.124148485367215677e-01
-2.631757531567895086e-06 -4.075907629198972330e-07 -8.858058632897170687e-03
# Frame 48:
1.109762305879763780e-02 5.462459322144734737e-04 7.900999815164333473e-01
2.233042748313174416e-04 9.976088469324986135e-03 6.127318383495429233e-01
2.648090616819072338e-06 3.954532622665162549e-07 8.870492953170350595e-03
# Frame 49:
1.107330943519423821e-02 5.740423310506623375e-04 7.920104161237986329e-01
2.224655739538158221e-04 1.000204589148260756e-02 6.102605273148203890e-01
2.625125731059039812e-06 4.936604606071684259e-07 8.862924253169771061e-03
# Frame 50:
1.097642756377067812e-02 5.424469149724243542e-04 7.897830193013064548e-01
2.068510376374844127e-04 9.906945623344692170e-03 6.131445941374511488e-01
2.582945346695185599e-06 4.263109341070973209e-07 8.804687775558654034e-03
# Frame 51:
-1.110626461212051511e-02 -5.618788795063588311e-04 -7.902506097485744174e-01
-2.271730184455156244e-04 -1.000765007849118392e-02 -6.125368682521501462e-01
-2.648948917821677918e-06 -4.789155531373343932e-07 -8.870700503612908780e-03
# Frame 52:
1.106630763462940030e-02 6.075712394277229828e-04 7.905588423177101198e-01
2.136680786430838542e-04 1.001866577924714376e-02 6.121396479806900937e-01
2.615379777368069058e-06 5.517463923972495472e-07 8.860957662395852613e-03
# Frame 53:
-1.113798206967622252e-02 -6.192842423787422957e-04 -7.922614261237760358e-01
-2.375765247056199126e-04 -1.008881179186567854e-02 -6.099315272350980255e-01
-2.670438514548299288e-06 -5.748981072985256532e-07 -8.893032665279019741e-03
# Frame 54:
1.105622391790865057e-02 5.689073088960749577e-04 7.898605999242875875e-01
2.165922482696785133e-04 9.972510758260560645e-03 6.130417382811842453e-01
2.651742805809996548e-06 4.812942102722149114e-07 8.831657788359904837e-03
# Frame 55:
1.108714942399048088e-02 5.693619587163407979e-04 7.917609897981179312e-01
2.261232201801978892e-04 9.995460242368218659e-03 6.105840961850488302e-01
2.662274874312365873e-06 4.803989246699741578e-07 8.853648960490251990e-03
# Frame 56:
1.107427421908567522e-02 5.496816804608452203e-04 7.901369206590640459e-01
2.221367186167963611e-04 9.952042441098537390e-03 6.126851798123624793e-01
2.638506018672050169e-06 3.806749334729676146e-07 8.859054672966572980e-03
# Frame 57:
1.105153811324506574e-02 5.715426926644614570e-04 7.916873728394085985e-01
2.184599609094405352e-04 9.979242274799593818e-03 6.106805430198826157e-01
2.620084586197792258e-06 4.995429929485148390e-07 8.847705895346433258e-03
# Frame 58:
1.116401375499579719e-02 6.138881015545392342e-04 7.888066753011211407e-01
2.207476692091007379e-04 1.009048232565267281e-02 6.143922482510730809e-01
2.667074902007942271e-06 5.925066372049507188e-07 8.905933813943394881e-03
# Frame 59:
1.094792247012534893e-02 5.066283152627411128e-04 7.923671508972158772e-01
2.111318828468962373e-04 9.855798352460344580e-03 6.098030225081607636e-01
2.567119849707167329e-06 3.515725069964343149e-07 8.790727827026967658e-03
# Frame 60:
1.094819265239652811e-02 5.161941998936735382e-04 7.903576714618215648e-01
2.100419039299216133e-04 9.832940765352455106e-03 6.124056316216067719e-01
2.565269818663877976e-06 3.596073683023759492e-07 8.788247400709815055e-03
# Frame 61:
1.101683441797301696e-02 5.273192459408824031e-04 7.904807612544109130e-01
2.152808998735378937e-04 9.911643656635020158e-03 6.122438788682464939e-01
2.629959547407329804e-06 4.078814469638608942e-07 8.812669056875690327e-03
# Frame 62:
1.093687588884672407e-02 5.128191075999507294e-04 7.927319249619970698e-01
2.091750099743441068e-04 9.853432759879566030e-03 6.093290439110978784e-01
2.557145197645802475e-06 3.822838397648950593e-07 8.786310759663082740e-03
# Frame 63:
1.085545963324224816e-02 4.845732065629536150e-04 7.916010912929892784e-01
1.981747987275460615e-04 9.760586461378600170e-03 6.108009462777992393e-01
2.503963485263121123e-06 2.868896722876353139e-07 8.748265381159147508e-03
# Frame 64:
1.097488435476352484e-02 5.306313785357939057e-04 7.924501450707785999e-01
2.148490052939897770e-04 9.899075713025477438e-03 6.096936629592600854e-01
2.578958564515523560e-06 3.709906109714241871e-07 8.811208856134667561e-03
# Frame 65:
-1.096057393819971706e-02 -5.109963786300936390e-04 -7.922412667931243435e-01
-2.183953398562232405e-04 -9.854769424676319486e-03 -6.099664191281314318e-01
-2.611440368483283543e-06 -3.795295111608504291e-07 -8.785399465868681465e-03
# Frame 66:
1.111549036440553397e-02 5.688868483115528405e-04 7.907358049730717209e-01
2.296668302814696685e-04 1.000078377114530480e-02 6.119100800358691084e-01
2.635928501275704547e-06 4.513988339187152088e-07 8.887884773958085530e-03
# Frame 67:
1.117784359687814047e-02 6.142352926034353811e-04 7.887661398881963271e-01
2.199042093916520079e-04 1.009768532482189542e-02 6.144436913311870363e-01
2.656271508781273828e-06 5.572641592214388183e-07 8.921528039620561790e-03
# Frame 68:
1.107252176443534845e-02 5.617368487803374270e-04 7.918375832237999346e-01
2.263244583328305340e-04 1.000864130343064907e-02 6.104845783958235961e-01
2.617984434909141888e-06 4.933802570767276001e-07 8.870226494054632427e-03
# Frame 69:
1.101182116111753054e-02 5.246416017146691459e-04 7.918406654701830583e-01
2.125373671654596315e-04 9.931807685279294209e-03 6.104836134335694942e-01
2.596166070114737572e-06 3.975551322931486710e-07 8.825916372091641843e-03
# Frame 70:
1.103858684522366837e-02 5.196424816751221611e-04 7.898361155108183373e-01
2.123141393320487609e-04 9.941570833215328598e-03 6.130741409815561038e-01
2.624127802097164262e-06 4.167224617323995537e-07 8.832211029795675877e-03
# Frame 71:
1.119897083552105245e-02 4.132798996632874563e-04 7.866590721096753391e-01
2.304946149241713217e-04 1.001464699072711177e-02 6.171404237851236818e-01
2.763376622897156322e-06 3.169814756011246983e-07 8.903233118312344277e-03
# Frame 72:
1.177609727260811937e-02 4.612282851399389458e-04 7.659669402715801878e-01
2.457423946894705252e-04 1.048820842214143179e-02 6.426192305028696206e-01
2.971687511489828540e-06 3.348641736102265356e-07 9.285412549483182745e-03
# Frame 73:
1.270980535377644847e-02 5.179067222662648608e-04 7.343743809697255154e-01
2.776545187999887089e-04 1.128005921117294398e-02 6.784599497097155707e-01
3.393050859005079132e-06 4.409348066682245916e-07 9.861084938888368956e-03
# Frame 74:
-1.375811609256344381e-02 -6.914309076823062011e-04 -6.903904222926741108e-01
-3.180213991144969143e-04 -1.214819823205671653e-02 -7.231271635204127302e-01
-3.857471499402992835e-06 -5.392177882764195706e-07 -1.052266493253832189e-02
# Frame 75:
1.460299056674635443e-02 7.702115568329879515e-04 6.592928581110872877e-01
3.725718034179082458e-04 1.279703693300108559e-02 7.515537637953877415e-01
4.214156428145880405e-06 5.655899149415300372e-07 1.105096499284461201e-02
# Frame 76:
1.502141680924983652e-02 8.848098622169518800e-04 6.342825258648235875e-01
3.748062115208087783e-04 1.316127997575110287e-02 7.727597238458643325e-01
4.363257348554358584e-06 6.559338330734831312e-07 1.132700061749519933e-02
# Frame 77:
